composer,composition_id,perf_id,structure,structure_correct
Beethoven,1176,6060,AAB,AAB
Beethoven,1176,6061,AAB,AAB
Beethoven,1176,6062,AAB,AAB
Beethoven,1176,6063,AAB,AAB
Beethoven,1176,6064,AAB,AAB
Beethoven,1176,6065,AB,AB
Beethoven,1176,6066,AB,AB
Beethoven,1176,6067,AAB,AAB
Beethoven,1176,6068,AAB,AAB
Beethoven,1176,6069,AAB,AAB
Beethoven,1176,6070,AAB,AAB
Beethoven,1176,6071,AAB,AAB
Beethoven,1176,6072,AAB,AAB
Beethoven,1176,6073,AAB,AAB
Beethoven,1176,6074,AB,AAB
Beethoven,1176,6075,AB,AAB
Beethoven,1176,6076,AB,AAB
Beethoven,1176,6077,AAB,AAB
Beethoven,1176,6078,AAB,AAB
Beethoven,1176,6079,AAB,AAB
Beethoven,1176,6080,AAB,AAB
Beethoven,1176,6081,AAB,AAB
Beethoven,1176,6082,AAB,AAB
Beethoven,1176,6083,AAB,AAB
Beethoven,1176,6084,AAB,AAB
Beethoven,1176,6085,AAB,AAB
Beethoven,1176,6086,AAB,AAB
Beethoven,1176,6087,AAB,AAB
