composer,composition_id,perf_id,structure,structure_correct
Schumann,215,984,ABCEFGGHI,AABCDDFGGHI
Schumann,215,985,AABCDCEFGGHI,AABCDDFGGHI
Schumann,215,986,AABCDCEFGGHI,AABCDDFGGHI
Schumann,215,987,ABCEFGGHI,ABCDDFGGHI 
Schumann,215,988,ABCEFGGHHI,AABCDDFGGHHI
Schumann,215,989,AABCDCEFGHI,AABCDDFGGHI
Schumann,215,990,AABCDCEFGHI,AABCDDFGGHI
Schumann,215,991,AABCDCEFGGHI,AABCDDEFGGHI
Schumann,215,992,ABCEFGHI,AABCDDEFGGHI
Schumann,215,993,ABCEFGHI,AABCDDEFGGHHI
Schumann,215,994,ABCDCEFGGHHI,ABCDDEFGGHHI
Schumann,215,995,AABCDCEFGGHI,AABCDDEFGGHI
Schumann,215,996,AABCDCEFGGHI,AABCDDEFGGHI
Schumann,215,997,ABCEFGHI,AABCDDEFGGHHI
Schumann,215,998,ABCEFGGHI,AABCDDFGGHI
Schumann,215,999,AABCDCEFGGHI,AABCDDFGGHI
Schumann,215,1000,ABCEFGGHI,AABCDDFGGHI
Schumann,215,1001,ABCEFGGHI,AABCDDFGGHI
Schumann,215,1002,ABCEFGHI,AABCDDEFGGHHI
Schumann,215,1003,ABCEFGHI,AABCDDEFGGHHI
Schumann,215,1004,ABCEFGHI,AABCDDEFGGGHHI
Schumann,215,1005,ABCEFGHI,AABCDDEFGGHHI
Schumann,215,1006,ABCEFGHI,ABCDDEFGGHHI
Schumann,215,1007,AABCDCEFGHHI,AABCDDFGGHHI
Schumann,215,1008,ABCEFGHI,AABCDDEFGGHHI
Schumann,215,1009,AABCDCEFGGHHI,AABCDDEFGGHHI
Schumann,215,1010,AABCDCEFGHI,AABCDDFGGHI
Schumann,215,1011,AABCDCEFGHHI,AABCDDFGGHHI
