composition_id,n_true_groups,n_predicted_groups,adjusted_rand_index,adjusted_mutual_info,homogeneity,completeness,v_measure,pairwise_f1
1204,1,10,0.0,0.0,1.0,0.0,0.0,0.1395
1213,3,7,0.4628,0.4738,0.9131,0.3786,0.5353,0.7534
1211,1,16,0.0,0.0,1.0,0.0,0.0,0.1072
1165,1,9,0.0,0.0,1.0,0.0,0.0,0.5623
1176,2,3,0.5061,0.5786,1.0,0.4366,0.6078,0.8816
1216,2,4,0.2818,0.3974,1.0,0.2918,0.4517,0.7111
1182,2,5,0.4513,0.5756,1.0,0.4474,0.6182,0.6446
1218,1,6,0.0,0.0,1.0,0.0,0.0,0.5316
1185,1,4,0.0,0.0,1.0,0.0,0.0,0.5944
1148,6,7,0.4931,0.6261,0.9182,0.6732,0.7768,0.6275
215,7,11,0.2335,0.3725,0.7724,0.5633,0.6514,0.3208
